model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,costOfficialUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,turns,toolCalls,readSingle,readBatch,grepCalls,bashCalls,editCalls,writeCalls
syn-large,niffler,t14-todosweep,pass,13.2,13,1,8685,1287,102,7296,0,0.000536,,18,0,2291,false,0,0,0,0,0,0,0,0,0,0,3,2,0,0,,2,,
syn-large,niffler,t15-pollstats,pass,19.3,18,1,10334,707,219,9408,0,0.000592,,1,0,2303,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
syn-large,niffler,t16-apisum,pass,27.2,25.8,1,10791,836,163,9792,0,0.000599,,13,0,2305,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,2,,1
syn-large,niffler,t17-doccheck,pass,47.7,45,1,28741,1888,805,26048,0,0.001728,,75,0,2383,false,0,0,0,0,0,0,0,0,0,0,8,8,0,0,,6,,2
syn-large,niffler,t18-lruttl,pass,64.7,64.1,1,19297,1413,1116,16768,0,0.001441,,79,12,2291,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,2,1,1
syn-large,niffler,t19-tokbucket,pass,59.2,58.9,1,31337,3776,745,26816,0,0.002012,,20,7,2265,false,0,0,0,0,0,0,0,0,0,0,7,6,0,0,,3,3,
syn-large,niffler,t20-jsonpatch,pass,65.6,65.3,1,29709,6185,1636,21888,0,0.002621,,117,20,2288,false,0,0,0,0,0,0,0,0,0,0,6,5,0,0,,3,1,1
syn-large,niffler,t21-wireproto,pass,67.5,67.1,1,22088,4732,1036,16320,0,0.001881,,53,8,2268,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,3,,1
syn-large,niffler,t22-cronnext,pass,75.3,75.1,1,56890,5867,1871,49152,0,0.003782,,98,17,2287,false,0,0,0,0,0,0,0,0,0,0,9,8,2,0,,3,2,1
syn-large,niffler,t23-mergesched,pass,70.4,69.9,1,21380,1424,1012,18944,0,0.001477,,71,7,2266,false,0,0,0,0,0,0,0,0,0,0,6,5,0,0,,3,1,1
syn-large,niffler,t24-editops,pass,53.1,52.8,1,20188,2685,927,16576,0,0.001529,,62,14,2280,false,0,0,0,0,0,0,0,0,0,0,5,4,1,0,,2,,1
syn-large,niffler,t25-shardmap,pass,53.1,51.5,1,19545,1872,969,16704,0,0.001433,,84,16,2283,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,3,,1
syn-large,niffler,t26-logfilter,pass,78.4,78.2,1,45746,7084,2630,36032,0,0.003819,,234,4,2256,false,0,0,0,0,0,0,0,0,0,0,8,8,2,0,,4,1,1
syn-large,niffler,t27-tarpeek,pass,76.6,74.9,1,20172,3469,959,15744,0,0.001630,,63,1,2278,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,2,,1
syn-large,niffler,t28-docbackfill,pass,39.8,39.3,1,16224,1642,502,14080,0,0.001061,,18,9,2334,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,4,,
syn-large,niffler,t29-logrollup,pass,26.3,26.2,1,8350,1058,252,7040,0,0.000566,,436,0,2323,false,0,0,0,0,0,0,0,0,0,0,3,2,0,0,,2,,
syn-large,niffler,t30-ifacedrift,pass,20.6,20.4,1,12533,1643,266,10624,0,0.000804,,48,48,2321,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
