model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens
deepseek-v4-flash,niffler-expert,t06-stackvm,pass,168.8,168.7,1,311859,23453,25686,262720,0,0.000000,133,34,true,9,7,2,1,1,0,0,29209,19008,10066
deepseek-v4-flash,opencode,t01-roman,pass,18.4,18.3,1,89522,15950,740,72832,0,0.002649,13,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t02-jsonrepair,pass,63.2,63.1,1,101601,16125,996,84480,0,0.004396,80,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t03-ringbuffer,pass,24.4,23.6,1,90291,16217,730,73344,0,0.002690,13,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t04-csvbugfix,pass,20.8,20.7,1,90221,16383,494,73344,0,0.002700,3,3,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t05-todostore,pass,28.5,28.3,1,110043,17085,798,92160,0,0.002930,18,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,opencode,t06-stackvm,pass,101.9,101.8,1,210562,21247,3075,186240,0,0.007546,98,11,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t01-roman,pass,7,6.8,1,10834,1918,596,8320,0,0.001455,13,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t02-jsonrepair,pass,38.3,38.2,1,41043,2812,5079,33152,0,0.007514,75,1,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t03-ringbuffer,pass,13.6,12.7,1,15342,2315,995,12032,0,0.002126,16,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t04-csvbugfix,pass,10.4,10.3,1,19526,2764,1018,15744,0,0.002384,3,3,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t05-todostore,pass,8,7.8,1,14796,2727,677,11392,0,0.001862,21,4,false,0,0,0,0,0,0,0,0,0,0
deepseek-v4-flash,pi,t06-stackvm,pass,73.9,73.8,1,97833,6427,12302,79104,0,0.018058,113,16,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t01-roman,pass,43.7,43.6,1,70960,19470,546,50944,0,0.000000,19,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t02-jsonrepair,pass,110.7,110.6,1,82899,34459,4280,44160,0,0.000000,77,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t03-ringbuffer,pass,41,40.1,1,73472,9905,783,62784,0,0.000000,14,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t04-csvbugfix,pass,37.6,37.5,1,88134,4893,681,82560,0,0.000000,3,3,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t05-todostore,pass,32.9,32.7,1,73153,4260,669,68224,0,0.000000,16,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler,t06-stackvm,pass,254.4,254.3,1,259849,42476,13341,204032,0,0.000000,151,57,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,niffler-expert,t01-roman,pass,132.6,132.5,1,119518,23949,14417,81152,0,0.000000,21,1,true,7,4,3,1,2,0,0,17647,14144,13670
glm-5.3-flash,niffler-expert,t02-jsonrepair,pass,88.3,88.2,1,96070,18631,8447,68992,0,0.000000,77,1,true,6,6,0,0,0,0,0,14646,11456,7182
glm-5.3-flash,niffler-expert,t03-ringbuffer,pass,95.3,94.5,1,106566,6835,8723,91008,0,0.000000,18,4,true,5,5,0,0,0,0,0,10804,8960,7734
glm-5.3-flash,niffler-expert,t04-csvbugfix,pass,68.8,68.7,1,100250,4259,4663,91328,0,0.000000,3,3,true,5,3,1,0,1,0,1,10657,8768,3981
glm-5.3-flash,niffler-expert,t05-todostore,pass,151.3,151.1,1,126111,12562,14733,98816,0,0.000000,18,4,true,8,5,3,1,2,0,0,20598,13824,13351
glm-5.3-flash,niffler-expert,t06-stackvm,pass,376,375.9,1,212724,28831,18965,164928,0,0.000000,149,75,true,9,6,1,1,0,0,2,19593,15168,4831
glm-5.3-flash,opencode,t01-roman,pass,62.4,62.3,1,84864,33680,560,50624,0,0.005832,13,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t02-jsonrepair,pass,128.4,128.3,1,108407,38344,1263,68800,0,0.008001,99,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t03-ringbuffer,pass,64.4,63.6,1,86616,20223,665,65728,0,0.004710,13,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t04-csvbugfix,pass,65.6,65.5,1,87800,35880,400,51520,0,0.006296,3,3,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t05-todostore,pass,103,102.8,1,104738,50372,798,53568,0,0.008248,18,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,opencode,t06-stackvm,pass,333.2,333.1,1,251012,109042,2898,139072,0,0.023109,152,48,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,t01-roman,pass,14.1,14,1,7460,4876,280,2304,0,0.000000,13,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,t02-jsonrepair,pass,26.1,26,1,10891,4609,970,5312,0,0.000000,117,1,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,t03-ringbuffer,pass,21.2,20.3,1,8444,5974,422,2048,0,0.000000,14,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,t04-csvbugfix,pass,26.4,26.3,1,8538,4199,179,4160,0,0.000000,3,3,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,t05-todostore,pass,21,20.8,1,8585,2994,407,5184,0,0.000000,17,4,false,0,0,0,0,0,0,0,0,0,0
glm-5.3-flash,pi,t06-stackvm,pass,36.9,36.8,1,17457,13912,1753,1792,0,0.000000,96,75,false,0,0,0,0,0,0,0,0,0,0
