model,harness,task,verdict,totalTimeS,agentTimeS,rounds,tokTotal,tokIn,tokOut,cacheRead,cacheWrite,costUSD,insertions,deletions,firstPromptTokens,expertActive,expertJudgments,expertSilences,expertSteers,expertAccepted,expertRejected,expertStaleDrops,expertErrors,expertPromptTokens,expertCachedTokens,expertCompletionTokens,turns,toolCalls,readSingle,readBatch,grepCalls,bashCalls,editCalls,writeCalls
syn-large,claudecode,t29-logrollup,pass,31,31,1,26308,0,229,18159,7920,0.000841,436,0,6147,false,0,0,0,0,0,0,0,0,0,0,7,4,2,0,,2,,
syn-large,claudecode,t30-ifacedrift,pass,33.1,33,1,33274,0,229,24921,8124,0.001111,48,48,6146,false,0,0,0,0,0,0,0,0,0,0,9,6,2,0,,4,,
syn-large,niffler,t01-roman,pass,14.5,14.3,1,9422,4414,272,4736,0,0.000988,13,1,2049,false,0,0,0,0,0,0,0,0,0,0,4,3,1,0,,1,,1
syn-large,niffler,t02-jsonrepair,pass,63.3,63.2,1,24750,3596,1378,19776,0,0.002019,71,1,2091,false,0,0,0,0,0,0,0,0,0,0,7,6,1,0,,3,1,1
syn-large,niffler,t03-ringbuffer,pass,27.4,26.9,1,10753,4863,450,5440,0,0.001172,14,4,2065,false,0,0,0,0,0,0,0,0,0,0,4,4,1,0,,2,,1
syn-large,niffler,t04-csvbugfix,pass,24.8,24.7,1,10484,3131,185,7168,0,0.000849,3,3,2022,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,2,1,
syn-large,niffler,t05-todostore,pass,14.6,14.5,1,10494,2990,400,7104,0,0.000933,16,4,2007,false,0,0,0,0,0,0,0,0,0,0,4,3,1,0,,1,,1
syn-large,niffler,t06-stackvm,pass,289.1,288.8,1,340370,11022,7748,321600,0,0.018391,118,40,2048,false,0,0,0,0,0,0,0,0,0,0,33,33,8,0,,12,8,5
syn-large,niffler,t07-validate,pass,116.3,116.1,1,27041,6840,745,19456,0,0.002177,10,9,2018,false,0,0,0,0,0,0,0,0,0,0,7,6,1,0,,3,1,1
syn-large,niffler,t08-logsum,pass,71.5,71.2,1,30667,5074,697,24896,0,0.002105,45,2,2014,false,0,0,0,0,0,0,0,0,0,0,9,10,4,0,,4,1,1
syn-large,niffler,t09-poolrace,pass,19.3,18,1,13084,5426,426,7232,0,0.001316,4,1,2033,false,0,0,0,0,0,0,0,0,0,0,5,5,1,0,,2,2,
syn-large,niffler,t10-iniparse,pass,33.9,32.3,1,17005,5032,453,11520,0,0.001442,6,5,2021,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,3,1,
syn-large,niffler,t11-asyncbugs,pass,14,13.8,1,11015,1531,396,9088,0,0.000791,6,11,2018,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
syn-large,niffler,t12-refactor,pass,35.9,35.7,1,27548,1942,518,25088,0,0.001554,2,4,2021,false,0,0,0,0,0,0,0,0,0,0,9,8,3,0,,3,2,
syn-large,niffler,t13-batchrename,pass,10,9.7,1,7437,819,90,6528,0,0.000429,27,27,2038,false,0,0,0,0,0,0,0,0,0,0,3,2,0,0,,2,,
syn-large,niffler,t14-todosweep,pass,12,12,1,10320,3438,162,6720,0,0.000865,18,0,2031,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
syn-large,niffler,t15-pollstats,pass,15.6,15.4,1,10290,2999,187,7104,0,0.000828,1,0,2043,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
syn-large,niffler,t16-apisum,pass,27.1,26,1,10835,1185,242,9408,0,0.000675,11,0,2045,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,2,,1
syn-large,niffler,t17-doccheck,pass,200.6,200.3,1,41789,4818,1707,35264,0,0.002987,74,0,2123,false,0,0,0,0,0,0,0,0,0,0,11,11,0,0,,9,1,1
syn-large,niffler,t18-lruttl,pass,193.4,193.2,1,15878,3281,1013,11584,0,0.001462,97,12,2031,false,0,0,0,0,0,0,0,0,0,0,5,4,1,0,,2,,1
syn-large,niffler,t19-tokbucket,pass,18.7,18.6,1,11903,1408,511,9984,0,0.000866,23,18,2005,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,2,,1
syn-large,niffler,t20-jsonpatch,pass,204.7,204.5,1,233851,8832,3579,221440,0,0.011972,164,12,2028,false,0,0,0,0,0,0,0,0,0,0,26,25,5,0,,13,6,1
syn-large,niffler,t21-wireproto,pass,42,41.7,1,26465,3143,1178,22144,0,0.001946,58,8,2008,false,0,0,0,0,0,0,0,0,0,0,6,6,2,0,,2,1,1
syn-large,niffler,t22-cronnext,pass,133.9,133.8,1,49419,11514,2577,35328,0,0.004429,91,17,2027,false,0,0,0,0,0,0,0,0,0,0,9,9,2,0,,4,1,2
syn-large,niffler,t23-mergesched,pass,25.8,25.5,1,12016,945,831,10240,0,0.000967,59,4,2006,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,2,,1
syn-large,niffler,t24-editops,pass,29.6,29.5,1,22678,2396,1018,19264,0,0.001639,66,14,2020,false,0,0,0,0,0,0,0,0,0,0,6,5,0,0,,4,,1
syn-large,niffler,t25-shardmap,pass,36,34.6,1,16440,1222,882,14336,0,0.001198,73,16,2023,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,2,1,1
syn-large,niffler,t26-logfilter,pass,70.1,70,1,38804,3384,1948,33472,0,0.002820,190,4,1996,false,0,0,0,0,0,0,0,0,0,0,8,7,0,0,,4,2,1
syn-large,niffler,t27-tarpeek,pass,76.3,75.8,1,89883,17634,2361,69888,0,0.006621,68,1,2018,false,0,0,0,0,0,0,0,0,0,0,11,10,1,0,,7,1,1
syn-large,niffler,t28-docbackfill,pass,29,28.7,1,11282,4236,262,6784,0,0.001038,18,9,2074,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
syn-large,niffler,t29-logrollup,pass,17.8,17.7,1,14357,1760,373,12224,0,0.000939,436,0,2063,false,0,0,0,0,0,0,0,0,0,0,5,4,0,0,,4,,
syn-large,niffler,t30-ifacedrift,pass,26,25.9,1,11891,1620,223,10048,0,0.000756,48,48,2061,false,0,0,0,0,0,0,0,0,0,0,4,3,0,0,,3,,
